mmsi,Gear_Main_Code,Gear_Sec_Code
224229980,OTB,NO
224218930,GNS,GTR
224106940,PS,NO
224051560,PS,NO
224106950,PS,NO
224377000,LLD,NO
224104820,PS,NO
224018460,PS,NO
224139780,PS,NO
224210180,OTB,NO
224103220,PS,NO
224389000,OTB,PTB
224021460,PS,NO
224108450,PS,NO
224014850,PS,NO
224104640,PS,NO
224082230,OTB,NO
224896000,PS,NO
224088740,PS,NO
224123730,OTB,NO
224122930,OTB,NO
224063790,LLD,NO
224008940,OTB,NO
224013710,OTB,NO
224014270,OTB,NO
224142870,LLD,NO
224091680,OTB,NO
224189260,PS,NO
224048840,PS,NO
224110320,LLD,NO
224131820,PS,NO
224138280,LLD,NO
224031680,PS,NO
224022170,OTB,NO
224211440,OTB,NO
224027550,OTB,NO
224018890,OTB,NO
224131530,LLS,NO
224156000,LLD,NO
225361000,LLS,GNS
224141970,PS,NO
224005270,OTB,NO
224241390,OTB,NO
224216490,GNS,GTR
224137770,PS,NO
224010000,LLS,GNS
224045930,LLD,NO
224070380,OTB,NO
224113270,LLS,NO
224019620,PS,NO
224047360,OTB,NO
224019630,PS,NO
224020890,LLD,NO
224016000,LLD,NO
224019470,PS,NO
224115790,PS,NO
224107990,PS,NO
224018260,PS,NO
224042740,PS,NO
224001760,OTB,NO
225325000,LLD,NO
224023580,PS,NO
224139890,LLS,NO
224220790,GNS,GTR
224177460,PS,NO
224288000,LLD,NO
224176380,PS,NO
224237650,LLS,NO
224222760,PS,NO
224100920,PS,NO
224056870,LLS,NO
224021630,OTB,NO
224153130,LLD,NO
224030940,GNS,NO
224026880,GNS,NO
224026770,PS,NO
224012660,PS,NO
224043560,LLD,NO
224018390,PS,NO
224046190,PS,NO
224337890,PS,NO
224171360,OTB,NO
224115170,OTB,NO
224069760,LLD,NO
224046360,PS,NO
224134120,OTB,PTB
224892000,LLD,NO
224926000,OTB,NO
224097540,GNS,NO
224061990,GNS,GTR
224045880,PS,NO
224049260,PS,NO
224048290,OTB,PTB
224057990,OTB,NO
224144890,OTB,NO
224024450,LLD,NO
224225320,OTB,NO
224032270,OTB,PTB
224250430,OTB,NO
224208650,OTB,NO
224468000,OTB,PTB
224022640,LLS,NO
224337720,OTB,NO
224016730,LLS,NO
224176390,OTB,NO
224077440,PS,NO
224029760,LLD,NO
224313420,OTB,PTB
